   168/299     3.11G   0.01617  0.004302         0   0.02047         3       640    0.9808    0.9593    0.9763    0.6413   0.02288  0.004237         0
   169/299     3.11G   0.01587  0.004195         0   0.02006         4       640    0.9806    0.9468    0.9761    0.6494    0.0225  0.004228         0
   170/299     3.11G   0.01634   0.00417         0   0.02051         8       640    0.9775      0.95    0.9758    0.6479   0.02266  0.004183         0
   171/299     3.11G   0.01595  0.004461         0   0.02041         3       640    0.9773    0.9406    0.9711     0.637   0.02304  0.004241         0
   172/299     3.11G   0.01649  0.004385         0   0.02087         5       640    0.9868    0.9375    0.9742    0.6551   0.02283  0.004135         0
   173/299     3.11G   0.01568  0.004458         0   0.02014         6       640    0.9869    0.9437    0.9775    0.6511   0.02248  0.003959         0
   174/299     3.11G   0.01628  0.004297         0   0.02058         5       640    0.9902    0.9531    0.9777    0.6566   0.02206   0.00393         0
   175/299     3.11G   0.01663  0.004108         0   0.02074         2       640    0.9683    0.9563     0.978    0.6559   0.02211  0.003944         0
   176/299     3.11G   0.01595  0.004497         0   0.02044         7       640    0.9805    0.9437    0.9718    0.6598   0.02162  0.004181         0
   177/299     3.11G   0.01635  0.004145         0   0.02049         6       640    0.9773    0.9469    0.9654     0.658   0.02182  0.004007         0
   178/299     3.11G   0.01593  0.004259         0   0.02019         5       640    0.9902    0.9469    0.9731    0.6537   0.02193  0.004012         0
   179/299     3.11G   0.01657  0.004477         0   0.02105         5       640    0.9935      0.95    0.9794    0.6582   0.02187  0.003944         0
   180/299     3.11G   0.01623  0.004049         0   0.02028         2       640    0.9682    0.9531    0.9787    0.6595   0.02181  0.004095         0
   181/299     3.11G   0.01656  0.004465         0   0.02102         5       640    0.9558    0.9469    0.9754    0.6407   0.02254  0.004256         0
   182/299     3.11G   0.01577  0.004194         0   0.01996         6       640    0.9684    0.9594    0.9814    0.6525   0.02182   0.00411         0
   183/299     3.11G   0.01586  0.004355         0   0.02021         5       640    0.9746    0.9593    0.9786    0.6464   0.02201   0.00405         0
   184/299     3.11G    0.0153  0.004108         0   0.01941         7       640    0.9774    0.9468    0.9748    0.6561   0.02189  0.004007         0
   185/299     3.11G   0.01574  0.004282         0   0.02002         4       640    0.9933    0.9344    0.9758    0.6488   0.02211  0.004243         0
   186/299     3.11G   0.01549  0.004289         0   0.01978         5       640    0.9867    0.9243    0.9716    0.6502   0.02192  0.004254         0
   187/299     3.11G   0.01556  0.003979         0   0.01954         1       640    0.9806      0.95    0.9753    0.6455   0.02245  0.004239         0
   188/299     3.11G   0.01533  0.004251         0   0.01958         5       640    0.9901    0.9344    0.9776    0.6576   0.02189   0.00404         0
   189/299     3.11G   0.01565  0.004011         0   0.01966         4       640    0.9683    0.9563    0.9753    0.6467    0.0216  0.004105         0
   190/299     3.11G   0.01579  0.004244         0   0.02004         5       640    0.9804    0.9406    0.9806    0.6497   0.02171  0.004177         0
   191/299     3.11G   0.01575   0.00425         0      0.02         5       640    0.9711    0.9437    0.9811     0.649   0.02201  0.003995         0
   192/299     3.11G   0.01565  0.004244         0   0.01989         8       640    0.9766    0.9281    0.9707    0.6402   0.02266  0.004271         0
   193/299     3.11G   0.01542  0.003905         0   0.01932         5       640    0.9835    0.9406    0.9743    0.6553   0.02177  0.004234         0
   194/299     3.11G   0.01576  0.004299         0   0.02006         9       640    0.9715    0.9594    0.9794    0.6562   0.02171  0.004042         0
   195/299     3.11G   0.01511  0.004207         0   0.01932         5       640         1     0.925     0.977     0.653   0.02234  0.004174         0
   196/299     3.11G   0.01481  0.004024         0   0.01883         6       640    0.9832    0.9437     0.974    0.6533   0.02227  0.004209         0
   197/299     3.11G   0.01468  0.003893         0   0.01858         5       640    0.9837    0.9437    0.9729    0.6532   0.02179  0.004345         0
   198/299     3.11G   0.01473   0.00428         0   0.01901         5       640    0.9871     0.953    0.9794    0.6606   0.02132    0.0041         0
   199/299     3.11G   0.01464  0.003983         0   0.01862         5       640    0.9806      0.95     0.975    0.6586   0.02199  0.004183         0
   200/299     3.11G   0.01508  0.004176         0   0.01925         6       640    0.9744      0.95     0.976    0.6546   0.02216  0.004262         0
   201/299     3.11G   0.01464  0.003838         0   0.01848         6       640    0.9839    0.9563    0.9758    0.6657   0.02151  0.004107         0
   202/299     3.11G   0.01479  0.003942         0   0.01873         8       640         1    0.9406    0.9813    0.6631   0.02157  0.004046         0
   203/299     3.11G   0.01458  0.003832         0   0.01841         6       640    0.9745    0.9562    0.9802     0.665   0.02143  0.004107         0
   204/299     3.11G   0.01461  0.004163         0   0.01877         6       640    0.9775      0.95    0.9776    0.6603   0.02206  0.004255         0
   205/299     3.11G   0.01416  0.003908         0   0.01807         8       640    0.9807    0.9563     0.977    0.6544   0.02189  0.004203         0
   206/299     3.11G   0.01455  0.004006         0   0.01856         7       640    0.9901    0.9469    0.9769    0.6449   0.02227  0.004358         0
   207/299     3.11G   0.01496   0.00383         0   0.01879         4       640    0.9805    0.9437     0.978    0.6639   0.02192  0.004284         0
   208/299     3.11G   0.01478  0.004018         0    0.0188         4       640    0.9836    0.9406    0.9715    0.6523   0.02219  0.004462         0
   209/299     3.11G   0.01462  0.003974         0    0.0186         4       640    0.9804    0.9406    0.9756    0.6563   0.02209  0.004367         0
   210/299     3.11G    0.0146  0.003914         0   0.01851         5       640    0.9743      0.95    0.9739    0.6581    0.0221  0.004329         0
   211/299     3.11G    0.0146  0.003991         0   0.01859         2       640    0.9564    0.9594    0.9724    0.6559   0.02207  0.004405         0
   212/299     3.11G   0.01419  0.003887         0   0.01808         5       640    0.9679    0.9437    0.9733    0.6625   0.02211  0.004379         0
   213/299     3.11G   0.01403  0.003872         0   0.01791         3       640    0.9771    0.9344    0.9703    0.6556   0.02216  0.004316         0
   214/299     3.11G   0.01387  0.003855         0   0.01772         5       640     0.965    0.9563    0.9724    0.6669   0.02173  0.004222         0
   215/299     3.11G   0.01394  0.003771         0   0.01771         8       640    0.9742    0.9437    0.9726    0.6641   0.02193   0.00428         0
   216/299     3.11G   0.01436  0.003772         0   0.01813         4       640    0.9711    0.9469     0.978    0.6487   0.02241  0.004352         0
   217/299     3.11G   0.01355  0.003836         0   0.01739         3       640    0.9621    0.9531    0.9778    0.6635   0.02234  0.004293         0
   218/299     3.11G   0.01388  0.003687         0   0.01757         5       640    0.9479    0.9656    0.9737    0.6641   0.02222  0.004261         0
   219/299     3.11G   0.01416  0.003932         0   0.01809         6       640    0.9741    0.9403    0.9734    0.6526   0.02215  0.004422         0
   220/299     3.11G   0.01408  0.003983         0   0.01807         4       640    0.9711    0.9437    0.9745    0.6453   0.02238  0.004575         0
   221/299     3.11G   0.01358  0.003651         0   0.01723         3       640     0.965    0.9469    0.9748    0.6554   0.02235  0.004375         0
   222/299     3.11G     0.014  0.004034         0   0.01803         7       640    0.9806    0.9468    0.9725    0.6566   0.02232  0.004302         0
   223/299     3.11G   0.01374  0.003645         0   0.01738         3       640    0.9805    0.9437    0.9752    0.6599    0.0221  0.004158         0
